,Country Name,"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (annual % growth)",Exports of goods and services (% of GDP),Exports of goods and services (annual % growth),Final consumption expenditure (% of GDP),Final consumption expenditure (annual % growth),GDP (current US$),GDP growth (annual %),Gross capital formation (% of GDP),Gross capital formation (annual % growth),Imports of goods and services (% of GDP),Imports of goods and services (annual % growth),"Industry (including construction), value added (% of GDP)","Industry (including construction), value added (annual % growth)","Manufacturing, value added (annual % growth)","Services, value added (% of GDP)","Services, value added (annual % growth)",Response Group
26,Netherlands,1.58231210043807,0.38345923242629,77.8566295252439,-4.83044410551537,67.8491929083421,-3.86847290530437,913865395789.886,-3.79863599268334,21.742168117536,-5.43872743123518,67.447990551122,-5.53318702713909,17.7738893506396,-2.49209941374858,-2.55016974441752,69.849580362332,-4.27620272255763,3
27,Poland,2.50217479507069,13.831366529955,56.1843263464818,0.132853170809909,75.9583711558563,-1.06358713610068,596624355719.671,-2.5406586820496,17.2484458381471,-12.1397357735307,49.3911433404852,-1.15251922989395,27.6823905209881,-5.16517621539965,-7.21431036650783,57.8404800709688,-1.80711627089738,3
28,Portugal,2.10540263892753,-5.94410692213164,37.0322192576369,-18.6364360812049,83.3598544709206,-5.54605016878097,228539245045.341,-8.4424559714062,18.7523801765778,-5.74893786963071,39.1444539051354,-12.1287359709035,19.3593039319769,-5.41214439192203,-8.00223779436377,65.6519429685115,-7.82484875157654,3
29,Romania,3.96740622409817,-14.9440907114964,37.1500900771074,-9.40469181239982,79.8957642086638,-3.56916669598726,249511333647.502,-3.74790769477283,24.4421589004181,2.58822185657388,41.4880131861893,-5.19332700229313,26.8904222872588,-1.91750903379247,-4.39577493371881,59.7826326124174,-2.8605909718639,3
30,Russian Federation,4.00204494456988,0.201072318750789,25.531215027121,-4.13374431924129,70.8914758659762,-4.89424094016927,1488321875489.74,-2.68329621644421,23.484069839063,-3.76731968576514,20.4307307532104,-12.0749205531582,29.8270639557454,-2.32625706159614,0.499804793915075,56.1329430300246,-2.37906583320809,1
31,Saudi Arabia,2.54190509866685,-1.65835598723805,26.1829049524404,-10.239586950441,72.0844437561289,-2.47874544196215,703367841222.555,-4.13767037552623,27.6263351912595,-13.8357912785992,25.8936838998287,-19.7528955636507,40.1051735391502,-5.96662627202905,-8.96662397465838,53.9032724265794,-1.9426333555317,2
32,Slovak Republic,1.75770213948195,4.29157708886963,85.4367747748779,-7.27869082015974,79.7216219814468,-0.726056239368717,105172564491.569,-4.35875380792719,19.3520021279929,-19.8497684575567,84.5103988843176,-8.24265275051046,27.3640708184286,-13.1180207301285,-16.042179149863,60.3890118439601,0.0953314759632775,2
33,Slovenia,2.12220687963007,3.88491173679438,77.8830111552386,-8.66269766003404,70.7772207734312,-3.75445592821255,53589609580.7099,-4.22926138908075,19.9976657169397,-7.34366237016444,68.6578997769856,-9.57871062135681,29.3627765316569,-3.11257694304416,-2.76163910380266,56.9252798805816,-3.780435274431,3
34,South Africa,2.52758414638469,13.428591367158,27.778011440401,-11.9504294938966,82.9037766990881,-4.7080725890434,335442101366.417,-6.43197482605483,12.7455548611915,-24.7305255204144,23.3488345013599,-17.4229743598449,23.4222754477963,-12.5910419647872,-12.3265644613115,64.5736708502647,-4.33504418082342,1
35,Spain,3.14800685949794,4.28452312231416,30.6209378687782,-20.147016451841,77.8356929198145,-8.21518358681158,1281484640043.58,-10.8228864939664,20.6911550267927,-11.4334137279186,29.1477858153854,-15.1948373241253,20.3703736715071,-10.4439425633162,-12.0757827885746,67.762231404664,-11.4958404463095,3
36,Sweden,1.39020112029361,1.79439437130287,44.5796532928676,-4.5906426225896,70.5937564163437,-3.43670697096093,541487151474.557,-2.94418191952613,24.7708763763057,-2.9798445208137,39.944286085517,-5.56720428610272,21.1166683776917,-3.60219926288443,-6.37672757934679,66.141234953674,-3.23310697368122,2
37,Turkiye,6.68055966342634,5.85711450709083,28.6648560112337,-14.7957882104252,71.9246589672482,3.02391744856538,719954821683.31,1.79355139618684,31.8862327765732,,32.4757475965414,7.58571953079938,28.0187682564406,0.957042835252551,3.24246854249218,54.2002036583648,0.642592041283379,3
38,United Kingdom,0.583198977297511,-9.94059491603198,28.3622762663919,-12.9613156848438,83.1248508985152,-9.50854817211402,2756900214107.32,-9.27041083453351,16.7200138022053,-12.7017929450619,28.0667007381483,-15.7687190803293,17.1071079962109,-10.8245647816039,-9.08005943002918,72.7220432100172,-8.93862425092289,3
39,United States,1.05974256107364,28.0345680343138,10.1628986024335,-13.562814775713,81.96498979255,-2.7880951830556,20893743833000.0,-3.40458965156256,21.1516760008321,-3.95644835328591,13.2795588104117,-8.93171160185256,18.4387545563529,0.7576559458182,-0.0382914328667425,80.1364098690393,-0.578014879326787,2
